"Mention","Frequency"
"daniel_p_egan",1
"DeanHeller",1
"DefenseDaily",1
"DemAwakening",1
"democracy4ppl",1
"Demos",1
"DeptofDefense",1
"DeptVetAffairs",1
"DeSmogBlog",1
"dino_grandoni",1
"doioig",1
"DougBurgum",1
"DrAparnaBole",1
"drcarachrist",1
"duckytennent",1
"DylanBrown26",1
"EBB_RI",1
"ecoRInews",1
"elizacollins1",1
"EllenLWeintraub",1
"EnergyDems",1
"EPAJustice",1
"EPW",1
"exxon",1
"eyokley",1
"ezraklein",1
"FCNLJustice",1
"FEC",1
"FLGovScott",1
"FMGlobal",1
"fmlappe",1
"Ford",1
"foxandfriends",1
"FoxNews",1
"frankthorp",1
"Georgetown",1
"gimleteyemiami",1
"Gizmodo",1
"GladysSarji",1
"GM",1
"GOP",1
"GorsuchFacts",1
"Governor_LePage",1
"GovernorBullock",1
"GovernorTomWolf",1
"GovHolcomb",1
"GovMattMead",1
"GovSandoval",1
"greenpeaceusa",1
"GretaFTR",1
"GretchenCarlson",1
"GroverNorquist",1
"GSO_URI",1
"guardian",1
"ha_nah_nah",1
"Hasbro",1
"HASCDemocrats",1
"HBFInstitute",1
"Heritage",1
"HooverInst",1
"HouseHomeland",1
"HuffPost",1
"HuffPostContrib",1
"IAGovernor",1
"ilyseh",1
"Interior",1
"iteptweets",1
"ItsDocumented",1
"J_Bissonnette",1
"jackwhitver",1
"jacob_holzman",1
"jameshohmann",1
"JasonKander",1
"jclement4maine",1
"JDMesnard",1
"JECDems",1
"JeffersonAwards",1
"jeffgoodell",1
"jeffsessions",1
"JeremyGillamAR",1
"JerryBrownGov",1
"JimInhofe",1
"jimmykimmel",1
"JoaquinCastrotx",1
"joenegronfl",1
"JohnKasich",1
"JohnWonderlich",1
"JointOceanCI",1
"jonathanvswan",1
"jrovner",1
"jrpsaki",1
"justiceforyouth",1
"JusticeOIG",1
"KamalaHarris",1
"keithellison",1
"keithnpt",1
"KenDilanianNBC",1
"KevinGHall",1
"kysenatepres",1
"LAdamsRIQuality",1
"LamarAlexander",1
"LarryObhof",1
"latimes",1
"LeadershipRI",1
"learningcommty",1
"LeilaniMunter",1
"LGSuzanneCrouch",1
"Lindafblue",1
"liveunitedri",1
"LtGovDanForest",1
"LtGovTimGriffin",1
"lutherstrange",1
"margebaker",1
"MarkWarner",1
"MaryKayHenry",1
"MattBevin",1
"MatunuckOyster",1
"maureendowd",1
"McClatchyDC",1
"mccwashington",1
"MddeH",1
"MealsRI",1
"Mebutke",1
"Medium",1
"megtirrell",1
"MeredithGould",1
"MetcalfURI",1
"MetSchool",1
"Michael_Shank",1
"MichaelEMann",1
"Middletown411",1
"MigraineDisordr",1
"MikeBloomberg",1
"mikememoli",1
"MilitaryOfficer",1
"MIT",1
"mit_esi",1
"mitch_at_EEN",1
"MITEngineering",1
"modrnhealthcr",1
"MoneyInPolitics",1
"MoodysInvSvc",1
"MoveOn",1
"MSHA_DOL",1
"mssociety",1
"MylynnTufte",1
"NAACP",1
"NAACP_LDF",1
"NAESP",1
"NAMICommunicate",1
"NancyPelosi",1
"NARAL",1
"NASA",1
"NateSibley",1
"NateSilver538",1
"nationalgridus",1
"NationalService",1
"NBCNews",1
"NCHouseSpeaker",1
"NEAarts",1
"NEBoatworks",1
"NEI",1
"NewDay",1
"NewportBuzz",1
"newportFILM",1
"NewportGulls",1
"NewsHour",1
"NFL",1
"NHPRIHealth",1
"nielslesniewski",1
"NIROPE",1
"NLC",1
"NLC_Columbus",1
"NLC_Portland",1
"NLC_RI",1
"NorthKingstown",1
"npenzenstadler",1
"NPR",1
"nptbiodiesel",1
"NRDCWater",1
"NSF",1
"NUWCNewport",1
"nwlc",1
"NWSBoston",1
"NYCComptroller",1
"NYCMayor",1
"NydiaVelazquez",1
"NYTNational",1
"Oceana",1
"OceanProgress",1
"ONDCP",1
"OneBryantUniv",1
"ONECampaign",1
"OperationFree",1
"OSDRI_Vets",1
"OurHospitals",1
"Oxfam",1
"OxfamAmerica",1
"PatrickAnderso_",1
"Patriots",1
"PaulSzoldra",1
"PBS",1
"PellCenter",1
"pepsi",1
"PepsiCo",1
"PEspinosaC",1
"PetrieFlom",1
"phileil",1
"POLITICOMag",1
"POLITICOPro",1
"PowerPost",1
"Pride_RI",1
"Prof_Kennedy",1
"ProPublica",1
"ProvBusNews",1
"Provchamber",1
"ProvFirefighter",1
"ProvidenceBuzz",1
"pvdschools",1
"QcWashington",1
"qz",1
"RareDiseases",1
"RDashford",1
"rdrigopimentel",1
"RedCross",1
"redunlap1",1
"repblumenauer",1
"RepChrisSmith",1
"RepChrisStewart",1
"RepCummings",1
"RepDerekKilmer",1
"RepGwenMoore",1
"RepJoeKennedy",1
"RepKinzinger",1
"RepKnudsen",1
"RepMaloney",1
"RepMcCaul",1
"RepMcNerney",1
"RepPeteKing",1
"RepPittenger",1
"RepRaskin",1
"RepTedDeutch",1
"RepTedLieu",1
"RepTurzai",1
"ResistHateRI",1
"Results4America",1
"Reuters",1
"RevDonRISCC",1
"RhodeIslandcom",1
"RhodyMBB",1
"RI_Barrington",1
"RI_CNCS",1
"RI_DLT",1
"RIBBABIZ",1
"RIC94AFSCME",1
"RIChapterWMW",1
"richardcorcoran",1
"RickFolbaum",1
"ricomposites",1
"RIDOT",1
"rights4girls",1
"RIHospital",1
"RIHospitality",1
"RIHousing",1
"RIKidsCount",1
"RILandWsummit",1
"RIMarineTrades",1
"RIMonthly",1
"ripa_ecp",1
"RIPrimaryCare",1
"risd",1
"RISecState",1
"ritba",1
"RITreasury",1
"RIVeterans",1
"RIVolunteers",1
"rollcall",1
"RWPUSA",1
"rwu_library",1
"ryanjones140",1
"S_PresThibodeau",1
"sahilkapur",1
"SalveRegina",1
"SBA_RhodeIsland",1
"sbg1",1
"Schwarzenegger",1
"sciam",1
"ScienceMarchDC",1
"ScienceMarchRI",1
"ScotMackRI",1
"scottdodd",1
"SeaHarvesters",1
"SecretaryRoss",1
"SecShulkin",1
"sejorg",1
"SenatorJackReed",1
"senatorscarnati",1
"SenBennetCO",1
"SenBillNelson",1
"SenBooker",1
"SenCarlLevin",1
"SenCarmichaelWV",1
"SenDeanHeller",1
"SenMikeLee",1
"SenRonJohnson",1
"SenShelby",1
"SenStabenow",1
"sethmeyers",1
"Shareblue",1
"SIFund",1
"SirDavidBBC",1
"smithsonian",1
"SNEAPA",1
"SocialSecurity",1
"sojournerri",1
"solarcity",1
"sparkaction",1
"SpeakerUpmeyer",1
"SSWorks",1
"statemedicaid",1
"StephenAtHome",1
"SteveHarshman",1
"StudentCam",1
"sw4mi",1
"TEDxProvidence",1
"TGowdySC",1
"TheEconomist",1
"theGwordfilm",1
"TheHyePhen",1
"TheLancet",1
"theNASEM",1
"TheNewportDaily",1
"theoceanproject",1
"TheSCIFPodcast",1
"TheWCS",1
"thinkprogress",1
"TIME",1
"TimmonsRoberts",1
"ToubaGhadessi",1
"TPPF",1
"TR_Foundation",1
"TrashFreeMD",1
"Trish536",1
"Twitter",1
"TYR_YouthRecvry",1
"UChiEnergy",1
"UCRU_Crusade",1
"UN4Youth",1
"UNFCCC",1
"Unilever",1
"uri_coastalinst",1
"uriaaup",1
"USCBO",1
"USFOR_A",1
"USMC",1
"USSArizona",1
"vanitaguptaCR",1
"vicenews",1
"volvooceanrace",1
"voxdotcom",1
"VP",1
"WarrenBuffett",1
"WhipHoyer",1
"WhitfordBradley",1
"wildlifeaction",1
"womensmarch",1
"WoodsHoleResCtr",1
"WorldBank",1
"WorldResources",1
"WreathsAcross",1
"WVGovernor",1
"WYOIA",1
"YaleClimateComm",1
"YouTube",1
"YWCAUSA",1
