"Mention","Frequency"
"comcast",1
"CommerceGov",1
"CompteL",1
"connectamnow",1
"Cooking_Light",1
"CorinthKiwanis",1
"CoryWilsonMS",1
"courtneyannj",1
"CroftUM",1
"crovitz",1
"Cubs",1
"dailyjournalnow",1
"dak",1
"DalaiLama",1
"DaLJBeast",1
"DallasSBaker",1
"danielhcross",1
"davidgregory",1
"DavidMuir",1
"DavidParkerSen",1
"DavidVitter",1
"dberrygannett",1
"DBMClarksdale",1
"dcexaminer",1
"dchsjaguars",1
"DCSeNews",1
"DDAALDD",1
"DefenseOne",1
"DelphiRetirees",1
"DeltaDevelop",1
"DeSotoCouncilMS",1
"dgoure",1
"DLMiddleton8",1
"DMcEw",1
"DoDNews",1
"dougwalkerwlox",1
"DPC_global",1
"DriveChipPutt",1
"EatOutOftenMS",1
"eatPrimos",1
"ECCC_MS",1
"ECCCAthletics",1
"Ecolab",1
"ElaineChao",1
"ENAorg",1
"ENERGY",1
"Enfoque",1
"ENR_GOP",1
"espn",1
"facebook",1
"FarmersFeeding",1
"fcanews",1
"FdA",1
"federalreserve",1
"FedEx",1
"FIDE_chess",1
"flibbertegibet",1
"FLOTUS",1
"FlyGPT",1
"flytupelo",1
"Forbes",1
"forestservice",1
"FoxNewsInsider",1
"FoxNewsOpinion",1
"Franklin_Graham",1
"FRCAction",1
"FreeBeacon",1
"freedomhousedc",1
"FrenchCampAca",1
"GDBIW",1
"GDMS",1
"GEAviation",1
"GetOnUpMovie",1
"GillReport",1
"GJCP",1
"GlennMcCJr",1
"Globalstar",1
"gloria",1
"GoMAlliance",1
"Google",1
"GOP",1
"GorsuchFacts",1
"Gov_Heineman",1
"GovPhilBryant",1
"GovSamBrownback",1
"GOYoste",1
"gr8tfullawyer",1
"GRAMMYMuseumMS",1
"GulfIslandsNPS",1
"Habitat_org",1
"HaleyBarbour",1
"hardball",1
"haroldgater",1
"HASCRepublicans",1
"Hattiesburg_MS",1
"hcleck",1
"HealthIsMobile",1
"heatherscope",1
"HillaryClinton",1
"HomeResearchLab",1
"HottyToddyNews",1
"HouseAdmnGOP",1
"HouseBenghazi",1
"HouseCommerce",1
"HUDgov",1
"HuffPostPol",1
"IBD_ECarson",1
"IBDeditorials",1
"InhofePress",1
"InternetAssn",1
"IRSnews",1
"ItawambaCC",1
"Jackson_Zoo",1
"JacksonAirports",1
"JAMA_current",1
"JamesPPinkerton",1
"JaneHillNews",1
"JaySekulow",1
"JBirchWMC",1
"JBrannanWLOX",1
"jcjc_athletics",1
"jdbalart",1
"JECRepublicans",1
"JeffersonAwards",1
"JFKucinich",1
"jimb0111",1
"JLJacksonMS",1
"joenosef",1
"John_Horhn",1
"JohnGrisham",1
"Josh_Barrage",1
"JournalNow",1
"JoyLambert",1
"JRubinBlogger",1
"JudyWoodruff",1
"Jumpstartkids",1
"kaf_fishing",1
"keeganfoxx",1
"Keesler_AFB",1
"kekilleen",1
"Khadija_Ismayil",1
"KosyTrace",1
"krauthammer",1
"KvirikashviliGi",1
"LakeTiakOKhata",1
"LarsLarsonShow",1
"lauraleelewisss",1
"leaderdesoto",1
"LeidosInc",1
"LetsGoICC",1
"LexNextDC",1
"lionsclubs",1
"LMDiscoveryCtr",1
"LocalMemphis",1
"Logisticsau",1
"LucasFoxNews",1
"MageeNews",1
"MaggieWade",1
"MalariaNoMore",1
"Marketplace",1
"MARKEYMEMO",1
"Martin_Dempsey",1
"MaxxSouth",1
"mbjournal",1
"McConnellPress",1
"McFaul",1
"MClyburnFCC",1
"MDAnews",1
"MDEQ",1
"MDWFPonline",1
"MECStateChamber",1
"Medium",1
"MellodyHobson",1
"MGCCCBulldogs",1
"MHA",1
"MIBFoundation",1
"michaelpfalcone",1
"MikeCrapo",1
"mikedebonis",1
"MikeHurstMS",1
"MilamBill",1
"MilitaryOfficer",1
"Milken",1
"MilkenInstitute",1
"millsapscollege",1
"MissAmericaAR",1
"MissAmericaOrg",1
"MissionMS",1
"MississippiDOT",1
"MissSocietyofDC",1
"MorningBriefing",1
"MS4PubCharters",1
"MSactivist",1
"msbankers",1
"msbookfest",1
"MSChildsMuseum",1
"MSCoastChamber",1
"MSDayofGiving",1
"MSMA1",1
"MSManufacturers",1
"msu_libraries",1
"MSUExtService",1
"MUWedu",1
"MUWinfo",1
"NAFSA",1
"najainc",1
"NASCAR",1
"NatchezInc",1
"NatchezMS300",1
"NatchezNPS",1
"NationalGuard",1
"NATO",1
"natparkservice",1
"NavyOceans",1
"NavyRecognition",1
"NBCOlympics",1
"ncaawbb",1
"ncfarmy",1
"NCRMuseum",1
"NeshobaDemocrat",1
"NewDay",1
"News_MS",1
"newscenter11",1
"newsmississipi",1
"NewsRadio981",1
"NFIBlive",1
"NFWFnews",1
"NJCAA",1
"NMAAHC",1
"NobelPrize",1
"NoBiggerTrucks",1
"NorthcentralEPA",1
"npratc",1
"NRFnews",1
"NRHA_Advocacy",1
"NSPARC_MSSTATE",1
"NTIAgov",1
"NWS",1
"nytimes",1
"OceanSpringsMS",1
"ODNIgov",1
"OleMiss",1
"OleMissSoftball",1
"OleMissTrack",1
"OregonState",1
"OSCE_SMM",1
"OSCEBiH",1
"OSD_OHS",1
"OSD_OMS",1
"OxfordEagle",1
"oxfordms",1
"packers",1
"PanCAN",1
"ParentProjectMD",1
"PartnersStennis",1
"PartsUnknownCNN",1
"Pat_Boone",1
"PatHarrisonWD",1
"PatrickOchs",1
"PaulSchmitz1",1
"PhilipGunnMS",1
"photogBullard",1
"PinelakeChurch",1
"PittsburghPG",1
"POLITICOPro",1
"PolitiFact",1
"PoloCustomProd",1
"Pontifex",1
"PoppyHarlowCNN",1
"postlive",1
"PostTV",1
"PowerVertical",1
"prattlibrary",1
"PresObama",1
"Primos",1
"ProFootballHOF",1
"RareDiseases",1
"RCMHSEagles",1
"RealClearNews",1
"RedeemerNYC",1
"reflectoronline",1
"RepAndyHarrisMD",1
"RepDebDingell",1
"RepMoBrooks",1
"RepRichHudson",1
"RepSeanDuffy",1
"RepShimkus",1
"RepTomPrice",1
"RichLowry",1
"rick_cleveland",1
"Ridgeland_MS",1
"Rio2016",1
"rlnave",1
"RMHC",1
"Robert_Graboyes",1
"robertcobrien",1
"robportman",1
"RodilElizabeth",1
"RollsRoyce",1
"RumsfeldOffice",1
"SafeRoadsNow",1
"salarmyjxn",1
"SalvationArmyUS",1
"samrhall",1
"SBAList",1
"ScottRauland",1
"ScottSimmonsNwz",1
"Scotus",1
"ScrippsBee",1
"SeabeeCenter",1
"SeaPortAir",1
"SecBurwell",1
"SecretaryCastro",1
"SecShulkin",1
"SenateCloakroom",1
"SenatorMenendez",1
"SenatorReid",1
"SenatorRisch",1
"SenatorRounds",1
"SenatorTester",1
"SenBillNelson",1
"SenDanCoats",1
"SenDavidBlount",1
"SenJohnKennedy",1
"SenMarkey",1
"SenRubioPress",1
"SenStabenow",1
"SenTedCruz",1
"SenToomey",1
"ShannonBream",1
"SheliaSays",1
"SheriffHodge",1
