ID, ideology, leadership, name, party, description, introduced_bills_115, cosponsored_bills_115, unique_cosponsors_115, total_cosponsors_115
412729, 0.651397584839, 0.312804008079, Garrett, Republican, centrist Republican follower , 13, 184, 86, 143
412706, 0.620653845374, 0.127026142594, Johnson [LA4], Republican, centrist Republican follower , 8, 91, 24, 26
412692, 0.600191470152, 0.0952173720513, Rutherford, Republican, centrist Republican follower , 10, 140, 23, 28
412687, 0.317748065482, 0.200931354841, Barragán, Democrat, moderate Democratic follower, 7, 294, 85, 124
412689, 0.392266103833, 0.0182350522512, Blunt Rochester, Democrat, moderate Democratic follower, 5, 216, 6, 6
412715, 0.434374366002, 0.202854349218, Rosen, Democrat, centrist Democratic follower, 9, 308, 73, 110
412704, 0.667632056752, 0.245511549099, Marshall, Republican, moderate Republican follower, 8, 184, 73, 85
412688, 0.441627007637, 0.29773835993, Correa, Democrat, centrist Democratic follower, 13, 225, 128, 217
412695, 0.327679223235, 0.239741438772, Soto, Democrat, moderate Democratic follower, 15, 457, 80, 126
412714, 0.517010082829, 0.19429228415, Gottheimer, Democrat, centrist Democratic follower, 12, 181, 72, 82
412707, 0.400343319549, 0.341555572644, Brown, Democrat, centrist Democrat, 16, 200, 151, 287
412693, 0.407803054255, 0.263768080592, Lawson, Democrat, centrist Democratic follower, 13, 195, 99, 189
412708, 0.277036798404, 0.232883834344, Raskin, Democrat, moderate Democratic follower, 7, 573, 93, 146
412686, 0.383564302146, 0.251865139135, Carbajal, Democrat, moderate Democratic follower, 13, 273, 100, 164
412730, 0.281935211591, 0.365165313817, Jayapal, Democrat, rank-and-file Democrat, 13, 420, 146, 396
412702, 0.690802565745, 0.202366923297, Banks, Republican, moderate Republican follower, 15, 175, 51, 67
412709, 0.594953884175, 0.199752158264, Bergman, Republican, centrist Republican follower , 6, 117, 56, 86
412711, 0.583605429292, 0.119653711962, Lewis [MN2], Republican, centrist Republican follower , 6, 85, 37, 44
412698, 0.570875844998, 0.230353972678, Mast, Republican, centrist Republican follower , 9, 152, 61, 64
412694, 0.47003293497, 0.474434139705, Murphy [FL7], Democrat, centrist Democrat, 13, 195, 212, 536
412685, 0.401487795485, 0.0311856144101, Panetta, Democrat, centrist Democratic follower, 3, 228, 9, 9
412718, 0.350995172758, 0.333897684307, Espaillat, Democrat, rank-and-file Democrat, 19, 281, 129, 309
412700, 0.658275757112, 0.104674296826, Ferguson, Republican, centrist Republican follower , 5, 144, 21, 31
412728, 0.394522789986, 0.243054900857, McEachin, Democrat, moderate Democratic follower, 5, 202, 110, 167
412727, 0.556014075199, 0.266923397236, Taylor, Republican, centrist Republican follower , 11, 80, 95, 118
412710, 0.65039450152, 0.121221969754, Mitchell, Republican, centrist Republican follower , 4, 152, 36, 37
412732, 0.588109202368, 0.103287863009, Cheney, Republican, centrist Republican follower , 17, 67, 21, 26
412705, 0.61330305853, 0.117285297993, Higgins [LA3], Republican, centrist Republican follower , 13, 108, 26, 34
412699, 0.645360856813, 0.193566607257, Rooney [FL19], Republican, centrist Republican follower , 9, 138, 44, 65
412712, 0.660696524808, 0.144876449921, Budd, Republican, moderate Republican follower, 12, 139, 29, 36
412738, 0.675663648508, 0.11439195721, Norman, Republican, moderate Republican follower, 4, 156, 25, 27
