full_name,chamber,party,state,screen_name,alt_name1,alt_name2
Dwight Evans,House,D,Pa.,RepDwightEvans,,
Mike Quigley,House,D,Ill.,RepMikeQuigley,,
Jerry McNerney,House,D,Calif.,RepMcNerney,,
Jim Langevin,House,D,R.I.,JimLangevin,,
Jamie Raskin,House,D,Md.,RepRaskin,jamie_raskin,
Debbie Wasserman Schultz,House,D,Fla.,RepDWStweets,DWStweets,
Marcia L. Fudge,House,D,Ohio,RepMarciaFudge,mlfudge,
Eric Swalwell,House,D,Calif.,RepSwalwell,ericswalwell,
Pramila Jayapal,House,D,Wash.,RepJayapal,PramilaJayapal,
Carol Shea-Porter,House,D,N.H.,RepSheaPorter,,
William Lacy Clay,House,D,Mo.,LacyClayMO1,,
Susan A. Davis,House,D,Calif.,RepSusanDavis,,
Michael E. Capuano,House,D,Mass.,RepMikeCapuano,,
Brenda Lawrence,House,D,Mich.,RepLawrence,,
Donald Beyer,House,D,Va.,RepDonBeyer,,
John Garamendi,House,D,Calif.,RepGaramendi,,
Tom Udall,Senate,D, N.M.,SenatorTomUdall,TomUdallPress,
Kathy Castor,House,D,Fla.,USRepKCastor,,
John Yarmuth,House,D,Ky.,RepJohnYarmuth,,
Ro Khanna,House,D,Calif.,RepRoKhanna,RoKhanna,
Tony Cardenas,House,D,Calif.,RepCardenas,,
Michelle Lujan Grisham,House,D,N.M.,RepLujanGrisham,,
Catherine Cortez Masto,Senate,D, Nev.,SenCortezMasto,CatherineForNV,
Joseph Crowley,House,D,N.Y.,repjoecrowley,,
Anna G. Eshoo,House,D,Calif.,RepAnnaEshoo,,
Debbie Dingell,House,D,Mich.,RepDebDingell,DebDingell,
Juan Vargas,House,D,Calif.,RepJuanVargas,,
Eddie Bernice Johnson,House,D,Texas,RepEBJ,,
Doris Matsui,House,D,Calif.,DorisMatsui,,
Bill Keating,House,D,Mass.,USRepKeating,,
Ted Deutch,House,D,Fla.,RepTedDeutch,,
Nita M. Lowey,House,D,N.Y.,NitaLowey,,
Ruben Gallego,House,D,Ariz.,RepRubenGallego,RubenGallego,
Eliot L. Engel,House,D,N.Y.,RepEliotEngel,,
Dina Titus,House,D,Nev.,repdinatitus,,
Alma Adams,House,D,N.C.,RepAdams,,
Julia Brownley,House,D,Calif.,JuliaBrownley26,,
Jared Polis,House,D,Colo.,jaredpolis,RepJaredPolis,
Nanette Barragan,House,D,Calif.,RepBarragan,,
Gerald E. Connolly,House,D,Va.,GerryConnolly,,
John Sarbanes,House,D,Md.,RepSarbanes,,
Rick Larsen,House,D,Wash.,RepRickLarsen,,
Thomas R. Carper,Senate,D, Del.,SenatorCarper,,
Marc Veasey,House,D,Texas,RepVeasey,,
Stephen F. Lynch,House,D,Mass.,RepStephenLynch,,
David E. Price,House,D,N.C.,RepDavidEPrice,,
Lloyd Doggett,House,D,Texas,RepLloydDoggett,,
Darren Soto,House,D,Fla.,RepDarrenSoto,DarrenSoto,
Dan Kildee,House,D,Mich.,RepDanKildee,dankildee,
Joseph P. Kennedy III,House,D,Mass.,RepJoeKennedy,,
G. K. Butterfield,House,D,N.C.,GKButterfield,,
Linda T. Sanchez,House,D,Calif.,RepLindaSanchez,,
Brian Higgins,House,D,N.Y.,RepBrianHiggins,,
Joyce Beatty,House,D,Ohio,RepBeatty,,
Gary Peters,Senate,D, Mich.,SenGaryPeters,Peters4Michigan,
Colleen Hanabusa,House,D,Hawaii,RepHanabusa,,
Cedric Richmond,House,D,La.,RepRichmond,CedricRichmond,
Peter Welch,House,D,Vt.,PeterWelch,,
Lois Frankel,House,D,Fla.,RepLoisFrankel,,
Beto O'Rourke,House,D,Texas,RepBetoORourke,BetoORourke,
Sean Patrick Maloney,House,D,N.Y.,RepSeanMaloney,,
Albio Sires,House,D,N.J.,RepSires,,
Diana DeGette,House,D,Colo.,RepDianaDeGette,,
Tim Ryan,House,D,Ohio,RepTimRyan,TimRyan,
Bill Pascrell Jr.,House,D,N.J.,BillPascrell,,
Norma Torres,House,D,Calif.,NormaJTorres,,
Bill Foster,House,D,Ill.,RepBillFoster,,
Gregorio Kilili Camacho Sablan,House,D,Northern Marina Islands,Kilili_Sablan,,
Adriano Espaillat,House,D,N.Y.,RepEspaillat,EspaillatNY,
Michael Bennet,Senate,D, Colo.,SenBennetCO,BennetForCO,
Peter A. DeFazio,House,D,Ore.,RepPeterDeFazio,,
James E. Clyburn,House,D,S.C.,Clyburn,,
Jim Himes,House,D,Conn.,jahimes,,
Pete Aguilar,House,D,Calif.,RepPeteAguilar,,
Elizabeth Esty,House,D,Conn.,RepEsty,,
Emanuel Cleaver II,House,D,Mo.,repcleaver,,
Suzan K. DelBene,House,D,Wash.,RepDelBene,,
Donald W. Norcross,House,D,N.J.,DonaldNorcross,,
Tina Smith,Senate,D, Minn.,SenTinaSmith,TinaSmithMN,
Stacey Plaskett,House,D,Virgin Islands,StaceyPlaskett,,
Scott Peters,House,D,Calif.,RepScottPeters,ScottPetersSD,
Ben Ray Lujan,House,D,N.M.,repbenraylujan,ChairmanDCCC,
Joaquin Castro,House,D,Texas,JoaquinCastrotx,,
Kathleen Rice,House,D,N.Y.,RepKathleenRice,,
Seth Moulton,House,D,Mass.,teammoulton,sethmoulton,
Denny Heck,House,D,Wash.,RepDennyHeck,,
Ann McLane Kuster,House,D,N.H.,RepAnnieKuster,,
Brendan Boyle,House,D,Pa.,RepBrendanBoyle,CongBoyle,
Steny H. Hoyer,House,D,Md.,WhipHoyer,,
Ed Perlmutter,House,D,Colo.,RepPerlmutter,,
Rick Nolan,House,D,Minn.,USRepRickNolan,,
Robert A. Brady,House,D,Pa.,RepBrady,,
Mike Doyle,House,D,Pa.,USRepMikeDoyle,,
Salud Carbajal,House,D,Calif.,RepCarbajal,carbajalsalud,
John B. Larson,House,D,Conn.,RepJohnLarson,,
Terri Sewell,House,D,Ala.,RepTerriSewell,,
Joe Courtney,House,D,Conn.,RepJoeCourtney,,
Bennie Thompson,House,D,Miss.,BennieGThompson,,
Lisa Blunt Rochester,House,D,Del.,RepBRochester,,
Nancy Pelosi,House,D,Calif.,NancyPelosi,TeamPelosi,
Raul Ruiz,House,D,Calif.,CongressmanRuiz,Dr_RaulRuiz,
A. Donald McEachin,House,D,Va.,RepMcEachin,,
Tulsi Gabbard,House,D,Hawaii,TulsiPress,TulsiGabbard,
Mark Warner,Senate,D, Va.,MarkWarner,MarkWarnerVA,
Val Demings,House,D,Fla.,RepValDemings,,
