"govTrack_id","full_name","chamber","party","state","bin","govTrack_desc","govTrack_ideology","proPub_votesAgainstParty","user_id","name","screen_name","location","description","statuses_count","followers_count","friends_count","favourites_count","verified","account_created_at","profile_expanded_url","profile_image_url"
"x400013","Tammy Baldwin","Senate","D"," Wis.",3," rank-and-file Democrat",0.16575941398,"3.6%","x1074518754","Sen. Tammy Baldwin","SenatorBaldwin","Washington, D.C.","Official Twitter account of United States Senator Tammy Baldwin's office, proudly working for the State of Wisconsin.",11272,92775,2679,474,TRUE,"2013-01-09 18:29:44","http://www.baldwin.senate.gov/","http://pbs.twimg.com/profile_images/888484691120148481/IQiOuvpT_normal.jpg"
"x400366","Jose E. Serrano","House","D","N.Y.",4," progressive Democrat",0.165856498863,"5.6%","x33563161","Jose E. Serrano","RepJoseSerrano","Bronx NY-Wash.DC","Congressman representing the South Bronx, New York.",4266,23897,1076,225,TRUE,"2009-04-20 16:06:56","http://www.serrano.house.gov/","http://pbs.twimg.com/profile_images/3660133461/11799f104946003777b619effc437548_normal.jpeg"
"x400378","Louise M. Slaughter","House","D","N.Y.",4," progressive Democrat",0.169308836763,"5.3%","x63169388","Louise Slaughter","louiseslaughter","NY-25","Honored to serve the people of Rochester and Monroe County, NY. Only microbiologist in Congress and Ranking Member of the House Committee on Rules.",3423,24678,1433,120,TRUE,"2009-08-05 15:53:07","http://www.louise.house.gov","http://pbs.twimg.com/profile_images/727913526677913600/4BewNfu2_normal.jpg"
"x412585","Mark Pocan","House","D","Wis.",4," progressive Democrat",0.171054132447,"5.6%","x1206227149","Rep. Mark Pocan","repmarkpocan","Madison, WI","Honored to serve the people of Wisconsin's Second District. Co-Chair, @USProgressives and @LGBTEqCaucus. Member of @AppropsDems",4008,66405,5229,1060,TRUE,"2013-02-21 22:59:04","http://pocan.house.gov","http://pbs.twimg.com/profile_images/847452433618010112/aioZ6yqR_normal.jpg"
"x400170","Alcee L. Hastings","House","D","Fla.",4," progressive Democratic leader",0.171072522358,"7.0%","x2433737761","Alcee L. Hastings","RepHastingsFL","Florida 20th","Congressman Alcee L. Hastings represents parts of Broward and Palm Beach counties in the U.S. House of Representatives.",994,16817,247,2,TRUE,"2014-04-08 14:53:21","http://AlceeHastings.House.gov","http://pbs.twimg.com/profile_images/453552802426400768/hCjUwfMs_normal.jpeg"
"x412236","Steve Cohen","House","D","Tenn.",4," progressive Democratic leader",0.174976116876,"6.3%","x162069635","Steve Cohen","RepCohen","Memphis, TN and Washington, DC","Congress TN9.Memphis.Judiciary&Transportation;civil rights/liberties/cr.jstc reform,women&minority issues/animal welfare/med research;Father,TN Educ Lottery.Dem",7359,42969,565,8871,TRUE,"2010-07-02 15:10:21","http://cohen.house.gov","http://pbs.twimg.com/profile_images/2868005705/2ad4089661866edbab4f8097df4a2b8b_normal.jpeg"
"x400064","Benjamin L. Cardin","Senate","D"," Md.",4," moderate Democratic leader",0.175745023466,"3.0%","x109071031","Senator Ben Cardin","SenatorCardin","Maryland, USA","U.S. Senator for Maryland. #SavetheBay. Small Biz, Foreign Relations, Finance, Enviro committees. https://t.co/Rwn7M4xbXO",9219,239192,2620,1614,TRUE,"2010-01-27 22:03:53","http://www.cardin.senate.gov","http://pbs.twimg.com/profile_images/931526777410850816/jYej2QIV_normal.jpg"
"x412412","Frederica Wilson","House","D","Fla.",4," progressive Democrat",0.17718048713,"4.0%","x254082173","Joe Wilson","RepJoeWilson","","Official Twitter account for Congressman Joe Wilson (SC-02). Grateful to serve as Chairman of the HASC Subcommittee on Readiness",1716,11763,370,425,TRUE,"2011-02-18 15:18:45","http://joewilson.house.gov","http://pbs.twimg.com/profile_images/661622212294778880/ScIsfHAl_normal.jpg"
"x300065","Patrick J. Leahy","Senate","D"," Vt.",4," rank-and-file Democrat",0.178336707836,"3.9%","x242836537","Sen. Patrick Leahy","SenatorLeahy","Washington, DC","",12272,139448,2336,96,TRUE,"2011-01-25 18:20:07","http://www.leahy.senate.gov","http://pbs.twimg.com/profile_images/921434597900128256/rcREOAwv_normal.jpg"
"x300093","Debbie Stabenow","Senate","D"," Mich.",4," rank-and-file Democrat",0.178532152298,"6.2%","x20113797","Debbie Stabenow","stabenow","","Senator Stabenow proudly represents the great State of Michigan in the U.S. Senate.",1783,39221,245,9,TRUE,"2009-02-05 01:56:00","http://debbiestabenow.com","http://pbs.twimg.com/profile_images/729686030484418561/XC1VA0vM_normal.jpg"
