"govTrack_id","full_name","lastName","middleName","firstName","chamber","party","partyName","state","govTrack_desc","govTrack_ideology","govTrack_leadership","propublica_url","proPub_sponsoredBills","proPub_cosponsoredBills","proPub_votesAgainstParty","proPub_missedVotes","twitter_url","user_id","name","screen_name","location","description","url","verified","statuses_count","followers_count","friends_count","favourites_count","listed_count","account_created_at","account_lang","profile_url","profile_expanded_url","profile_image_url","profile_banner_url","profile_background_url"
412657,"Donald Beyer","Beyer","","Donald","House","D"," Democrat","Va."," rank-and-file Democrat",0.2918878251,0.565947777484,"https://projects.propublica.org/represent/members/B001292-donald-beyer",11,314,"5.7%","3.2%","https://twitter.com/repdonbeyer","x2962868158","Rep. Don Beyer","RepDonBeyer","Northern Virginia & DC","Representing Virginia's 8th District, Northern Virginia, in Congress. Vice-Ranking @SciCmteDems. Co-Chair @CaucusOnClimate. #EqualPay #StopGunViolence","https://t.co/GLUWQ3oyIM",TRUE,12175,56709,3062,13914,981,"2015-01-05 22:09:04","en","https://t.co/GLUWQ3oyIM","http://beyer.house.gov","http://pbs.twimg.com/profile_images/749245008692162561/rXDh0UQB_normal.jpg","https://pbs.twimg.com/profile_banners/2962868158/1426530943","http://pbs.twimg.com/profile_background_images/577536907992678401/d_eOEeKx.jpeg"
412683,"Andy Biggs","Biggs","","Andy","House","R"," Republican","Ariz."," rank-and-file Republican",0.68344291321,0.379502444345,"https://projects.propublica.org/represent/members/B001302-andy-biggs",17,170,"9.6%","0.4%","https://twitter.com/RepAndyBiggsAZ","x816652616625168388","Rep Andy Biggs","RepAndyBiggsAZ","Arizona, USA","Representing the 5th Congressional District of Arizona.","https://t.co/LblQSftLl0",TRUE,2461,7796,1189,1993,285,"2017-01-04 14:28:51","en","https://t.co/LblQSftLl0","http://biggs.house.gov","http://pbs.twimg.com/profile_images/816653962669686784/KW4t-1Xf_normal.jpg","https://pbs.twimg.com/profile_banners/816652616625168388/1488390125",NA
412250,"Gus Bilirakis","Bilirakis","","Gus","House","R"," Republican","Fla."," moderate Republican leader",0.781489781622,0.794464410022,"https://projects.propublica.org/represent/members/B001257-gus-bilirakis",28,196,"1.6%","3.9%","https://twitter.com/RepGusBilirakis","x26051676","Gus Bilirakis","RepGusBilirakis","Palm Harbor, Fla.","Congressman for Florida’s 12th Congressional District, Committees: @HouseCommerce @HouseVetAffairs","http://t.co/4oHwHdDPuy",TRUE,5335,25212,1191,256,1234,"2009-03-23 17:56:32","en","http://t.co/4oHwHdDPuy","http://bilirakis.house.gov","http://pbs.twimg.com/profile_images/694914426131111936/hTyLQllD_normal.png","https://pbs.twimg.com/profile_banners/26051676/1472752802","http://pbs.twimg.com/profile_background_images/6521303/2gr_gov_seal16.gif"
400030,"Sanford D. Bishop Jr.","Bishop [GA2]","D.","Sanford","House","D"," Democrat","Ga."," centrist Democrat",0.426330951098,0.358662234037,"https://projects.propublica.org/represent/members/B000490-sanford-d-bishop-jr",3,248,"9.4%","3.5%","https://twitter.com/SanfordBishop","x249410485","Sanford Bishop, Jr.","SanfordBishop","Georgia 2nd CD & Washington DC","Proudly representing Georgia's 2nd Congressional District. Ranking Member of House Appropriations Subcommittee on Agriculture  https://t.co/gQh6pvYihy","http://t.co/ozJucyCFUb",TRUE,1731,16163,784,151,772,"2011-02-09 00:23:10","en","http://t.co/ozJucyCFUb","http://bishop.house.gov","http://pbs.twimg.com/profile_images/2429733840/rjl32rw6zxkszb84av5z_normal.jpeg","https://pbs.twimg.com/profile_banners/249410485/1402940063","http://pbs.twimg.com/profile_background_images/378800000116677422/da053d79162bc9230a13c02fec78db28.jpeg"
412635,"Mike Bishop","Bishop [MI8]","","Mike","House","R"," Republican","Mich."," rank-and-file Republican",0.817354445455,0.56221697518,"https://projects.propublica.org/represent/members/B001293-mike-bishop",8,236,"5.5%","0.8%","https://twitter.com/RepMikeBishop","x2914571740","Mike Bishop","RepMikeBishop","Rochester, MI","Official account for Congressman Mike Bishop #MI08. Proudly serving on the tax-writing @WaysandMeansGOP.","http://t.co/cJYobAueyX",TRUE,1718,10556,771,352,401,"2014-12-10 22:19:34","en","http://t.co/cJYobAueyX","http://mikebishop.house.gov","http://pbs.twimg.com/profile_images/656529391673999360/fK2zpwcO_normal.jpg","https://pbs.twimg.com/profile_banners/2914571740/1454946078","http://abs.twimg.com/images/themes/theme1/bg.png"
412478,"Diane Black","Black","","Diane","House","R"," Republican","Tenn."," conservative Republican leader",0.884584433483,0.954480848884,"https://projects.propublica.org/represent/members/B001273-diane-black",22,110,"1.9%","8.3%","https://twitter.com/RepDianeBlack","x110545675","Diane Black","RepDianeBlack","Gallatin, TN","Proudly representing Tennessee's Sixth District (#TN06). Registered nurse & former @HouseBudgetGOP Chair.","https://t.co/NQlkxJkNfu",TRUE,5639,25766,2003,538,1153,"2010-02-01 22:58:22","en","https://t.co/NQlkxJkNfu","http://black.house.gov","http://pbs.twimg.com/profile_images/950826608801275904/PJAg_fAC_normal.jpg","https://pbs.twimg.com/profile_banners/110545675/1499465333","http://pbs.twimg.com/profile_background_images/452166580227420162/LKXhLQGz.jpeg"
400032,"Marsha Blackburn","Blackburn","","Marsha","House","R"," Republican","Tenn."," conservative Republican leader",0.962572686762,0.794975309907,"https://projects.propublica.org/represent/members/B001243-marsha-blackburn",28,151,"4.0%","4.4%","https://twitter.com/MarshaBlackburn","x278145569","Marsha Blackburn","MarshaBlackburn","Brentwood, TN","I am honored to serve the people of Tennessee's 7th District.","http://t.co/uIRgQmKWY5",TRUE,5799,51565,2605,373,1461,"2011-04-06 18:05:33","en","http://t.co/uIRgQmKWY5","http://blackburn.house.gov","http://pbs.twimg.com/profile_images/1302245568/Twitter_profile_normal.JPG",NA,"http://pbs.twimg.com/profile_background_images/378800000010438181/e3f02cef6794fd6777482be977d2850a.png"
412627,"Rod Blum","Blum","","Rod","House","R"," Republican","Iowa"," moderate Republican follower",0.758366277433,0.20487540677,"https://projects.propublica.org/represent/members/B001294-rod-blum",10,116,"10.1%","2.1%","https://twitter.com/RepRodBlum","x2965083477","Congressman Rod Blum","RepRodBlum","Northeast Iowa","Official Account Of Iowa's 1st District Congressman Rod Blum. Member of @GOPoversight & @HouseSmallBiz #IA01. https://t.co/UGNts1QJPN","https://t.co/Bj8xky2rkx",TRUE,2173,10085,2280,267,486,"2015-01-06 22:59:49","en","https://t.co/Bj8xky2rkx","http://blum.house.gov","http://pbs.twimg.com/profile_images/563377937609547776/QgjEd3ns_normal.jpeg","https://pbs.twimg.com/profile_banners/2965083477/1425483647","http://abs.twimg.com/images/themes/theme1/bg.png"
400033,"Earl Blumenauer","Blumenauer","","Earl","House","D"," Democrat","Ore."," progressive Democrat",0.232274115732,0.596959785314,"https://projects.propublica.org/represent/members/B000574-earl-blumenauer",27,602,"7.2%","4.0%","https://twitter.com/BlumenauerMedia","x137823987","Blumenauer Media","BlumenauerMedia","","Rep. Earl Blumenauer (OR-03) congressional account. Tweets are by staff.","http://t.co/xtsAE5Cp8T",TRUE,352,3093,251,0,299,"2010-04-27 21:48:06","en","http://t.co/xtsAE5Cp8T","http://blumenauer.house.gov","http://pbs.twimg.com/profile_images/1769543952/Earl_garden_normal.jpg",NA,"http://abs.twimg.com/images/themes/theme1/bg.png"
412501,"Suzanne Bonamici","Bonamici","","Suzanne","House","D"," Democrat","Ore."," rank-and-file Democrat",0.26370836488,0.378557163945,"https://projects.propublica.org/represent/members/B001278-suzanne-bonamici",14,343,"6.6%","0.4%","https://twitter.com/RepBonamici","x558769636","Suzanne Bonamici","RepBonamici","","Representing Oregon's 1st District. Working to strengthen #PublicEducation, support #WorkingFamilies, & #DefendScience. Proud mom of two grown kids.","http://t.co/4mNk46JctA",TRUE,2663,22946,1205,150,780,"2012-04-20 16:30:32","en","http://t.co/4mNk46JctA","http://bonamici.house.gov/","http://pbs.twimg.com/profile_images/378800000084043080/816f970a918a5d6fe798f5451dd249d7_normal.jpeg","https://pbs.twimg.com/profile_banners/558769636/1513624686","http://pbs.twimg.com/profile_background_images/807131658/03fe990b1ae5e82cbae51757c2c22626.jpeg"
