"name","propublica_url","twitter_url"
"Judy Chu","https://projects.propublica.org/represent/members/C001080-judy-chu","http://twitter.com/RepJudyChu"
"David Cicilline","https://projects.propublica.org/represent/members/C001084-david-cicilline","http://twitter.com/RepCicilline"
"Katherine Clark","https://projects.propublica.org/represent/members/C001101-katherine-clark","http://twitter.com/RepKClark"
"Yvette D. Clarke","https://projects.propublica.org/represent/members/C001067-yvette-d-clarke","http://twitter.com/RepYvetteClarke"
"William Lacy Clay","https://projects.propublica.org/represent/members/C001049-william-lacy-clay",""
"Emanuel Cleaver II","https://projects.propublica.org/represent/members/C001061-emanuel-cleaver-ii","http://twitter.com/RepCleaver"
"James E. Clyburn","https://projects.propublica.org/represent/members/C000537-james-e-clyburn","http://twitter.com/Clyburn"
"Mike Coffman","https://projects.propublica.org/represent/members/C001077-mike-coffman","http://twitter.com/RepMikeCoffman"
"Steve Cohen","https://projects.propublica.org/represent/members/C001068-steve-cohen","http://twitter.com/RepCohen"
"Tom Cole","https://projects.propublica.org/represent/members/C001053-tom-cole","http://twitter.com/TomColeOK04"
"Chris Collins","https://projects.propublica.org/represent/members/C001092-chris-collins","http://twitter.com/RepChrisCollins"
"Doug Collins","https://projects.propublica.org/represent/members/C001093-doug-collins","http://twitter.com/RepDougCollins"
"James Comer","https://projects.propublica.org/represent/members/C001108-james-comer",""
"Barbara Comstock","https://projects.propublica.org/represent/members/C001105-barbara-comstock","http://twitter.com/RepComstock"
"K. Michael Conaway","https://projects.propublica.org/represent/members/C001062-k-michael-conaway","http://twitter.com/ConawayTX11"
"Gerald E. Connolly","https://projects.propublica.org/represent/members/C001078-gerald-e-connolly","http://twitter.com/GerryConnolly"
"Paul Cook","https://projects.propublica.org/represent/members/C001094-paul-cook","http://twitter.com/RepPaulCook"
"Jim Cooper","https://projects.propublica.org/represent/members/C000754-jim-cooper","http://twitter.com/RepJimCooper"
"J. Luis Correa","https://projects.propublica.org/represent/members/C001110-j-luis-correa","http://twitter.com/RepLouCorrea"
"Jim Costa","https://projects.propublica.org/represent/members/C001059-jim-costa","http://twitter.com/RepJimCosta"
"Ryan Costello","https://projects.propublica.org/represent/members/C001106-ryan-costello","http://twitter.com/RepRyanCostello"
"Joe Courtney","https://projects.propublica.org/represent/members/C001069-joe-courtney","http://twitter.com/RepJoeCourtney"
"Kevin Cramer","https://projects.propublica.org/represent/members/C001096-kevin-cramer","http://twitter.com/RepKevinCramer"
"Rick Crawford","https://projects.propublica.org/represent/members/C001087-rick-crawford","http://twitter.com/RepRickCrawford"
"Charlie Crist","https://projects.propublica.org/represent/members/C001111-charlie-crist","http://twitter.com/repcharliecrist"
"Joseph Crowley","https://projects.propublica.org/represent/members/C001038-joseph-crowley","http://twitter.com/RepJoeCrowley"
"Henry Cuellar","https://projects.propublica.org/represent/members/C001063-henry-cuellar","http://twitter.com/RepCuellar"
"John Culberson","https://projects.propublica.org/represent/members/C001048-john-culberson","http://twitter.com/CongCulberson"
"Elijah E. Cummings","https://projects.propublica.org/represent/members/C000984-elijah-e-cummings","http://twitter.com/RepCummings"
"Carlos Curbelo","https://projects.propublica.org/represent/members/C001107-carlos-curbelo","http://twitter.com/RepCurbelo"
"John Curtis","https://projects.propublica.org/represent/members/C001114-john-curtis","http://twitter.com/RepJohnCurtis"
"Warren Davidson","https://projects.propublica.org/represent/members/D000626-warren-davidson","http://twitter.com/WarrenDavidson"
"Susan A. Davis","https://projects.propublica.org/represent/members/D000598-susan-a-davis","http://twitter.com/RepSusanDavis"
"Rodney Davis","https://projects.propublica.org/represent/members/D000619-rodney-davis","http://twitter.com/RodneyDavis"
"Danny K. Davis","https://projects.propublica.org/represent/members/D000096-danny-k-davis","http://twitter.com/RepDannyDavis"
"Peter A. DeFazio","https://projects.propublica.org/represent/members/D000191-peter-a-defazio","http://twitter.com/RepPeterDeFazio"
"Diana DeGette","https://projects.propublica.org/represent/members/D000197-diana-degette","http://twitter.com/RepDianaDeGette"
"John Delaney","https://projects.propublica.org/represent/members/D000620-john-delaney","http://twitter.com/RepJohnDelaney"
"Rosa DeLauro","https://projects.propublica.org/represent/members/D000216-rosa-delauro","http://twitter.com/RosaDeLauro"
"Suzan K. DelBene","https://projects.propublica.org/represent/members/D000617-suzan-k-delbene","http://twitter.com/RepDelBene"
"Val Demings","https://projects.propublica.org/represent/members/D000627-val-demings","http://twitter.com/RepValDemings"
"Jeffrey Denham","https://projects.propublica.org/represent/members/D000612-jeffrey-denham","http://twitter.com/RepJeffDenham"
"Charlie Dent","https://projects.propublica.org/represent/members/D000604-charlie-dent","http://twitter.com/RepCharlieDent"
"Ron DeSantis","https://projects.propublica.org/represent/members/D000621-ron-desantis","http://twitter.com/RepDeSantis"
